gene_name	type	chromsome	start	stop	length	strand
AT1G01910	protein_coding_gene	Chr1	313101	315902	2802	-
AT1G01920	protein_coding_gene	Chr1	316128	319650	3523	+
AT1G01930	protein_coding_gene	Chr1	319836	322860	3025	-
AT1G01940	protein_coding_gene	Chr1	323027	324917	1891	+
AT1G01950	protein_coding_gene	Chr1	325379	330619	5241	+
AT1G01960	protein_coding_gene	Chr1	330588	337582	6995	-
AT1G01970	protein_coding_gene	Chr1	338291	340077	1787	+
AT1G01980	protein_coding_gene	Chr1	340172	341999	1828	-
AT1G01990	protein_coding_gene	Chr1	343166	344341	1176	-
AT1G02000	protein_coding_gene	Chr1	345812	347592	1781	+
AT1G02010	protein_coding_gene	Chr1	347891	352480	4590	+
AT1G02020	protein_coding_gene	Chr1	352637	354969	2333	-
AT1G02030	protein_coding_gene	Chr1	355321	357258	1938	-
AT1G02040	protein_coding_gene	Chr1	358104	359078	975	-
AT1G02050	protein_coding_gene	Chr1	359117	360518	1402	-
AT1G02060	protein_coding_gene	Chr1	360918	363094	2177	-
AT1G02065	protein_coding_gene	Chr1	365209	367340	2132	+
AT1G02070	protein_coding_gene	Chr1	370257	370967	711	-
AT1G02074	protein_coding_gene	Chr1	372064	372210	147	+
AT1G02080	protein_coding_gene	Chr1	373335	386847	13513	+
AT1G02090	protein_coding_gene	Chr1	387277	389647	2371	-
AT1G02100	protein_coding_gene	Chr1	389812	392816	3005	+
AT1G02110	protein_coding_gene	Chr1	392831	395528	2698	+
AT1G02120	protein_coding_gene	Chr1	395761	399897	4137	+
AT1G02130	protein_coding_gene	Chr1	400035	401882	1848	-
AT1G02140	protein_coding_gene	Chr1	403190	404456	1267	-
AT1G02145	protein_coding_gene	Chr1	404600	408619	4020	+
AT1G02150	protein_coding_gene	Chr1	408622	410611	1990	+
AT1G02160	protein_coding_gene	Chr1	410748	411597	850	+
AT1G02170	protein_coding_gene	Chr1	411779	413554	1776	+
AT1G02180	protein_coding_gene	Chr1	413522	414645	1124	-
AT1G02190	protein_coding_gene	Chr1	415079	418010	2932	+
AT1G02205	protein_coding_gene	Chr1	418748	422438	3691	+
AT1G02210	protein_coding_gene	Chr1	427548	427811	264	-
AT1G02220	protein_coding_gene	Chr1	428814	430647	1834	-
AT1G02230	protein_coding_gene	Chr1	435174	436776	1603	-
AT1G02250	protein_coding_gene	Chr1	437951	439559	1609	-
AT1G02260	protein_coding_gene	Chr1	440441	442877	2437	-
AT1G02270	protein_coding_gene	Chr1	443149	446235	3087	-
AT1G02280	protein_coding_gene	Chr1	448463	450426	1964	-
AT1G02290	protein_coding_gene	Chr1	450527	452737	2211	-
AT1G02300	protein_coding_gene	Chr1	453288	455463	2176	+
AT1G02305	protein_coding_gene	Chr1	455688	458164	2477	+
AT1G02310	protein_coding_gene	Chr1	458133	460696	2564	-
AT1G02320	protein_coding_gene	Chr1	461828	461974	147	+
AT1G02330	protein_coding_gene	Chr1	462075	463612	1538	-
AT1G02335	protein_coding_gene	Chr1	463855	464924	1070	-
AT1G02340	protein_coding_gene	Chr1	465718	467844	2127	-
AT1G02350	protein_coding_gene	Chr1	469818	470693	876	+
AT1G02360	protein_coding_gene	Chr1	471990	473160	1171	-
AT1G02370	protein_coding_gene	Chr1	474500	476511	2012	+
AT1G02380	protein_coding_gene	Chr1	477000	478971	1972	+
AT1G02390	protein_coding_gene	Chr1	480852	483292	2441	+
AT1G02391	protein_coding_gene	Chr1	483764	483919	156	-
AT1G02400	protein_coding_gene	Chr1	486801	489577	2777	+
AT1G02405	protein_coding_gene	Chr1	489979	490505	527	-
AT1G02410	protein_coding_gene	Chr1	490925	492926	2002	+
AT1G02420	protein_coding_gene	Chr1	493683	495158	1476	+
AT1G02430	protein_coding_gene	Chr1	495050	496062	1013	-
AT1G02440	protein_coding_gene	Chr1	496586	497479	894	-
AT1G02450	protein_coding_gene	Chr1	497976	498516	541	-
AT1G02460	protein_coding_gene	Chr1	504673	507204	2532	-
AT1G02470	protein_coding_gene	Chr1	511765	513624	1860	-
AT1G02475	protein_coding_gene	Chr1	513843	515404	1562	-
AT1G02480	tRNA	Chr1	515494	515566	73	+
AT1G02490	protein_coding_gene	Chr1	516618	516734	117	+
AT1G02500	protein_coding_gene	Chr1	518251	520437	2187	+
AT1G02510	protein_coding_gene	Chr1	520498	521668	1171	-
AT1G02520	protein_coding_gene	Chr1	523651	528745	5095	+
AT1G02530	protein_coding_gene	Chr1	529795	534677	4883	+
AT1G02540	protein_coding_gene	Chr1	534827	535699	873	-
AT1G02550	protein_coding_gene	Chr1	536483	537211	729	+
AT1G02560	protein_coding_gene	Chr1	537860	540109	2250	+
AT1G02570	protein_coding_gene	Chr1	541335	542240	906	+
AT1G02575	protein_coding_gene	Chr1	543110	544007	898	+
AT1G02580	protein_coding_gene	Chr1	544783	549202	4420	+
AT1G02590	protein_coding_gene	Chr1	552138	552761	624	-
AT1G02600	tRNA	Chr1	552640	552711	72	+
AT1G02610	protein_coding_gene	Chr1	553050	555994	2945	-
AT1G02620	protein_coding_gene	Chr1	557092	557986	895	+
AT1G02630	protein_coding_gene	Chr1	560610	562424	1815	-
AT1G02640	protein_coding_gene	Chr1	564205	567769	3565	+
AT1G02650	protein_coding_gene	Chr1	568704	570418	1715	+
AT1G02660	protein_coding_gene	Chr1	571955	574981	3027	-
AT1G02670	protein_coding_gene	Chr1	576046	580299	4254	+
AT1G02680	protein_coding_gene	Chr1	580625	582310	1686	+
AT1G02690	protein_coding_gene	Chr1	584260	587219	2960	+
AT1G02700	protein_coding_gene	Chr1	588329	589480	1152	+
AT1G02710	protein_coding_gene	Chr1	589706	589996	291	-
AT1G02720	protein_coding_gene	Chr1	591826	594236	2411	+
AT1G02730	protein_coding_gene	Chr1	594573	598657	4085	-
AT1G02740	protein_coding_gene	Chr1	599416	602038	2623	-
AT1G02750	protein_coding_gene	Chr1	602497	604292	1796	+
AT1G02760	tRNA	Chr1	604402	604474	73	+
AT1G02770	protein_coding_gene	Chr1	604873	606693	1821	-
AT1G02780	protein_coding_gene	Chr1	607808	609465	1658	-
AT1G02790	protein_coding_gene	Chr1	610391	612324	1934	-
AT1G02800	protein_coding_gene	Chr1	613216	616191	2976	-
AT1G02810	protein_coding_gene	Chr1	618265	620480	2216	+
AT1G02813	protein_coding_gene	Chr1	620678	621289	612	+
AT1G02816	protein_coding_gene	Chr1	621461	622469	1009	+
AT1G02820	protein_coding_gene	Chr1	623765	624475	711	-
AT1G02830	protein_coding_gene	Chr1	625145	625608	464	-
AT1G02840	protein_coding_gene	Chr1	626741	629819	3079	+
AT1G02850	protein_coding_gene	Chr1	630505	633259	2755	+
AT1G02860	protein_coding_gene	Chr1	635144	637262	2119	+
AT1G02870	protein_coding_gene	Chr1	637214	638677	1464	-
AT1G02880	protein_coding_gene	Chr1	642752	644903	2152	-
AT1G02890	protein_coding_gene	Chr1	645092	651907	6816	-
AT1G02900	protein_coding_gene	Chr1	653765	654343	579	-
AT1G02910	protein_coding_gene	Chr1	655577	658148	2572	-
AT1G02920	protein_coding_gene	Chr1	658657	659771	1115	-
AT1G02930	protein_coding_gene	Chr1	661177	662456	1280	-
AT1G02940	protein_coding_gene	Chr1	663079	664128	1050	-
AT1G02950	protein_coding_gene	Chr1	665152	666452	1301	-
AT1G02952	other_RNA	Chr1	665354	666367	1014	+
AT1G02960	protein_coding_gene	Chr1	666872	669837	2966	-
AT1G02965	protein_coding_gene	Chr1	671661	672814	1154	-
AT1G02970	protein_coding_gene	Chr1	673306	676378	3073	+
AT1G02980	protein_coding_gene	Chr1	677869	681310	3442	+
AT1G02990	protein_coding_gene	Chr1	681396	687315	5920	-
AT1G03000	protein_coding_gene	Chr1	687890	692560	4671	-
AT1G03010	protein_coding_gene	Chr1	693480	696382	2903	+
AT1G03020	protein_coding_gene	Chr1	698207	698515	309	-
AT1G03022	protein_coding_gene	Chr1	699121	699246	126	+
AT1G03030	protein_coding_gene	Chr1	701478	703864	2387	+
AT1G03040	protein_coding_gene	Chr1	703906	706631	2726	-
AT1G03050	protein_coding_gene	Chr1	707726	710041	2316	+
AT1G03055	protein_coding_gene	Chr1	710018	711803	1786	-
AT1G03060	protein_coding_gene	Chr1	712473	726891	14419	-
AT1G03070	protein_coding_gene	Chr1	729901	731557	1657	+
AT1G03080	protein_coding_gene	Chr1	731611	738056	6446	-
AT1G03090	protein_coding_gene	Chr1	739679	744184	4506	+
AT1G03100	protein_coding_gene	Chr1	743885	746479	2595	-
AT1G03103	protein_coding_gene	Chr1	747197	748057	861	+
AT1G03106	protein_coding_gene	Chr1	748102	749034	933	-
AT1G03110	protein_coding_gene	Chr1	749246	751963	2718	+
AT1G03120	protein_coding_gene	Chr1	752271	753140	870	+
AT1G03130	protein_coding_gene	Chr1	753307	754198	892	-
AT1G03140	protein_coding_gene	Chr1	754371	756303	1933	-
AT1G03150	protein_coding_gene	Chr1	756414	758612	2199	+
AT1G03160	protein_coding_gene	Chr1	761282	766158	4877	+
AT1G03170	protein_coding_gene	Chr1	769632	770684	1053	+
AT1G03180	protein_coding_gene	Chr1	773411	775344	1934	+
AT1G03190	protein_coding_gene	Chr1	775527	780062	4536	+
AT1G03200	protein_coding_gene	Chr1	780602	781285	684	+
AT1G03210	protein_coding_gene	Chr1	782948	784240	1293	+
AT1G03220	protein_coding_gene	Chr1	787122	788651	1530	+
AT1G03230	protein_coding_gene	Chr1	790091	791592	1502	+
AT1G03240	protein_coding_gene	Chr1	792222	792986	765	-
AT1G03250	protein_coding_gene	Chr1	793353	795376	2024	-
AT1G03260	protein_coding_gene	Chr1	795532	798463	2932	-
AT1G03270	protein_coding_gene	Chr1	799191	802436	3246	+
AT1G03280	protein_coding_gene	Chr1	803035	807066	4032	+
AT1G03290	protein_coding_gene	Chr1	807361	810868	3508	+
AT1G03300	protein_coding_gene	Chr1	811033	813086	2054	-
AT1G03310	protein_coding_gene	Chr1	813471	816749	3279	+
AT1G03320	protein_coding_gene	Chr1	817027	817767	741	+
AT1G03330	protein_coding_gene	Chr1	817983	819563	1581	-
AT1G03340	protein_coding_gene	Chr1	819662	821317	1656	+
AT1G03350	protein_coding_gene	Chr1	822638	824393	1756	-
AT1G03360	protein_coding_gene	Chr1	824537	826358	1822	+
AT1G03365	protein_coding_gene	Chr1	826569	830383	3815	+
AT1G03370	protein_coding_gene	Chr1	830627	835361	4735	+
AT1G03380	protein_coding_gene	Chr1	835785	840940	5156	+
AT1G03390	protein_coding_gene	Chr1	841033	842418	1386	-
AT1G03400	protein_coding_gene	Chr1	842747	844190	1444	-
AT1G03410	protein_coding_gene	Chr1	844436	847683	3248	-
AT1G03430	protein_coding_gene	Chr1	847873	849500	1628	+
AT1G03440	protein_coding_gene	Chr1	852366	854032	1667	+
AT1G03445	protein_coding_gene	Chr1	854410	859701	5292	-
AT1G03457	protein_coding_gene	Chr1	860788	864125	3338	-
AT1G03470	protein_coding_gene	Chr1	865915	867733	1819	-
AT1G03475	protein_coding_gene	Chr1	869051	871211	2161	-
AT1G03490	protein_coding_gene	Chr1	871874	872906	1033	+
AT1G03495	protein_coding_gene	Chr1	873184	874935	1752	+
AT1G03502	snoRNA	Chr1	875358	875471	114	-
AT1G03506	snoRNA	Chr1	875518	875604	87	-
AT1G03510	protein_coding_gene	Chr1	876258	877547	1290	-
AT1G03515	tRNA	Chr1	877648	877719	72	+
AT1G03520	protein_coding_gene	Chr1	877862	880158	2297	-
AT1G03530	protein_coding_gene	Chr1	880496	883391	2896	-
AT1G03540	protein_coding_gene	Chr1	883782	885611	1830	+
AT1G03545	other_RNA	Chr1	885941	887906	1966	+
AT1G03550	protein_coding_gene	Chr1	885623	887956	2334	-
AT1G03560	protein_coding_gene	Chr1	890156	892410	2255	-
AT1G03570	tRNA	Chr1	892514	892585	72	+
AT1G03590	protein_coding_gene	Chr1	894254	897518	3265	-
AT1G03600	protein_coding_gene	Chr1	898876	899655	780	+
AT1G03610	protein_coding_gene	Chr1	900887	903003	2117	+
AT1G03620	protein_coding_gene	Chr1	904319	906186	1868	-
AT1G03630	protein_coding_gene	Chr1	907642	909376	1735	+
AT1G03640	tRNA	Chr1	909811	909883	73	-
AT1G03650	protein_coding_gene	Chr1	910023	911193	1171	-
AT1G03660	protein_coding_gene	Chr1	911436	911759	324	-
AT1G03670	protein_coding_gene	Chr1	914222	916222	2001	-
AT1G03680	protein_coding_gene	Chr1	916819	918064	1246	-
AT1G03687	protein_coding_gene	Chr1	918299	920507	2209	+
AT1G03700	protein_coding_gene	Chr1	920950	921901	952	+
AT1G03710	protein_coding_gene	Chr1	923426	924726	1301	+
AT1G03720	protein_coding_gene	Chr1	924996	926373	1378	-
AT1G03730	protein_coding_gene	Chr1	930828	931895	1068	-
AT1G03740	protein_coding_gene	Chr1	933512	937043	3532	+
AT1G03743	snoRNA	Chr1	937207	937287	81	-
AT1G03746	snoRNA	Chr1	937401	937485	85	-
AT1G03750	protein_coding_gene	Chr1	937920	941162	3243	+
AT1G03760	protein_coding_gene	Chr1	941062	943377	2316	-
AT1G03770	protein_coding_gene	Chr1	944572	947483	2912	+
AT1G03780	protein_coding_gene	Chr1	947520	951827	4308	-
AT1G03790	protein_coding_gene	Chr1	954525	956097	1573	+
AT1G03800	protein_coding_gene	Chr1	957261	957998	738	-
AT1G03810	protein_coding_gene	Chr1	958759	959609	851	+
AT1G03820	protein_coding_gene	Chr1	959869	960728	860	-
AT1G03830	protein_coding_gene	Chr1	962016	966757	4742	-
AT1G03840	protein_coding_gene	Chr1	967503	970130	2628	-
AT1G03850	protein_coding_gene	Chr1	976097	977761	1665	-
AT1G03860	protein_coding_gene	Chr1	979308	981885	2578	-
AT1G03870	protein_coding_gene	Chr1	982506	983540	1035	-
AT1G03880	protein_coding_gene	Chr1	985751	988146	2396	+
AT1G03890	protein_coding_gene	Chr1	989198	991020	1823	+
AT1G03900	protein_coding_gene	Chr1	991139	993118	1980	+
AT1G03905	protein_coding_gene	Chr1	993400	995784	2385	+
AT1G03910	protein_coding_gene	Chr1	996115	1000437	4323	+
AT1G03920	protein_coding_gene	Chr1	1001321	1004383	3063	+
AT1G03930	protein_coding_gene	Chr1	1004769	1008370	3602	+
AT1G03935	snoRNA	Chr1	1008810	1008896	87	+
AT1G03940	protein_coding_gene	Chr1	1009542	1011056	1515	-
AT1G03950	protein_coding_gene	Chr1	1011172	1013365	2194	-
AT1G03960	protein_coding_gene	Chr1	1013715	1017929	4215	+
AT1G03970	protein_coding_gene	Chr1	1018100	1019247	1148	+
AT1G03980	protein_coding_gene	Chr1	1018570	1022108	3539	-
AT1G03982	protein_coding_gene	Chr1	1022251	1023719	1469	-
AT1G03990	protein_coding_gene	Chr1	1024847	1027616	2770	+
AT1G04000	protein_coding_gene	Chr1	1028106	1029119	1014	-
AT1G04010	protein_coding_gene	Chr1	1031200	1036237	5038	-
AT1G04020	protein_coding_gene	Chr1	1036537	1040224	3688	+
AT1G04030	protein_coding_gene	Chr1	1040383	1042892	2510	+
AT1G04040	protein_coding_gene	Chr1	1042362	1043864	1503	-
AT1G04050	protein_coding_gene	Chr1	1045598	1049297	3700	-
AT1G04070	protein_coding_gene	Chr1	1050553	1051186	634	-
AT1G04080	protein_coding_gene	Chr1	1051312	1056827	5516	+
AT1G04090	protein_coding_gene	Chr1	1057151	1059419	2269	+
AT1G04100	protein_coding_gene	Chr1	1059506	1061191	1686	+
AT1G04110	protein_coding_gene	Chr1	1061457	1063784	2328	-
AT1G04120	protein_coding_gene	Chr1	1064450	1071047	6598	-
AT1G04130	protein_coding_gene	Chr1	1073427	1075568	2142	+
AT1G04140	protein_coding_gene	Chr1	1075543	1080630	5088	-
AT1G04150	protein_coding_gene	Chr1	1081208	1084246	3039	-
AT1G04160	protein_coding_gene	Chr1	1086495	1096146	9652	+
AT1G04170	protein_coding_gene	Chr1	1096946	1099898	2953	+
AT1G04171	protein_coding_gene	Chr1	1100444	1100608	165	-
AT1G04180	protein_coding_gene	Chr1	1104623	1105988	1366	+
AT1G04190	protein_coding_gene	Chr1	1106428	1108715	2288	-
AT1G04200	protein_coding_gene	Chr1	1109482	1114107	4626	+
AT1G04210	protein_coding_gene	Chr1	1114405	1119739	5335	+
AT1G04220	protein_coding_gene	Chr1	1119699	1122526	2828	-
AT1G04230	protein_coding_gene	Chr1	1125518	1128168	2651	+
AT1G04240	protein_coding_gene	Chr1	1128188	1129551	1364	-
AT1G04250	protein_coding_gene	Chr1	1136258	1138613	2356	+
AT1G04260	protein_coding_gene	Chr1	1140528	1141365	838	-
AT1G04270	protein_coding_gene	Chr1	1141604	1143053	1450	-
AT1G04280	protein_coding_gene	Chr1	1143436	1146654	3219	-
AT1G04290	protein_coding_gene	Chr1	1147523	1148533	1011	-
AT1G04295	other_RNA	Chr1	1147781	1148435	655	+
AT1G04300	protein_coding_gene	Chr1	1148597	1154652	6056	-
AT1G04310	protein_coding_gene	Chr1	1154764	1157711	2948	-
AT1G04320	tRNA	Chr1	1159023	1159093	71	+
AT1G04330	protein_coding_gene	Chr1	1161311	1161982	672	-
AT1G04340	protein_coding_gene	Chr1	1163097	1164851	1755	-
AT1G04350	protein_coding_gene	Chr1	1165165	1166768	1604	+
AT1G04360	protein_coding_gene	Chr1	1167457	1168878	1422	-
AT1G04370	protein_coding_gene	Chr1	1175177	1175578	402	+
AT1G04380	protein_coding_gene	Chr1	1176921	1178407	1487	-
AT1G04390	protein_coding_gene	Chr1	1179363	1183704	4342	-
AT1G04400	protein_coding_gene	Chr1	1185550	1188517	2968	-
AT1G04410	protein_coding_gene	Chr1	1189078	1191412	2335	-
AT1G04420	protein_coding_gene	Chr1	1191608	1193884	2277	+
AT1G04425	other_RNA	Chr1	1194187	1196889	2703	+
AT1G04430	protein_coding_gene	Chr1	1198118	1201527	3410	+
AT1G04440	protein_coding_gene	Chr1	1202255	1205803	3549	+
AT1G04445	protein_coding_gene	Chr1	1207344	1207862	519	+
AT1G04450	protein_coding_gene	Chr1	1208521	1209874	1354	+
AT1G04470	protein_coding_gene	Chr1	1211049	1214662	3614	-
AT1G04480	protein_coding_gene	Chr1	1216095	1217467	1373	+
AT1G04490	protein_coding_gene	Chr1	1217948	1220137	2190	-
AT1G04500	protein_coding_gene	Chr1	1221433	1224366	2934	-
AT1G04501	protein_coding_gene	Chr1	1224552	1224680	129	+
AT1G04510	protein_coding_gene	Chr1	1226575	1230827	4253	+
AT1G04520	protein_coding_gene	Chr1	1231578	1234032	2455	+
AT1G04530	protein_coding_gene	Chr1	1234176	1236034	1859	-
AT1G04540	protein_coding_gene	Chr1	1237256	1239061	1806	+
AT1G04550	protein_coding_gene	Chr1	1240375	1242121	1747	+
AT1G04555	protein_coding_gene	Chr1	1242558	1244244	1687	+
AT1G04560	protein_coding_gene	Chr1	1244947	1246059	1113	+
AT1G04570	protein_coding_gene	Chr1	1246728	1248775	2048	-
AT1G04580	protein_coding_gene	Chr1	1252122	1257510	5389	-
AT1G04590	protein_coding_gene	Chr1	1258577	1261426	2850	-
AT1G04600	protein_coding_gene	Chr1	1262123	1272376	10254	+
AT1G04610	protein_coding_gene	Chr1	1279388	1281618	2231	+
AT1G04620	protein_coding_gene	Chr1	1282741	1286584	3844	-
AT1G04625	protein_coding_gene	Chr1	1287831	1289820	1990	-
AT1G04630	protein_coding_gene	Chr1	1289734	1291112	1379	-
AT1G04635	protein_coding_gene	Chr1	1291314	1291995	682	+
AT1G04640	protein_coding_gene	Chr1	1292080	1293357	1278	+
AT1G04645	protein_coding_gene	Chr1	1293770	1294263	494	-
AT1G04650	protein_coding_gene	Chr1	1294893	1299002	4110	-
AT1G04660	protein_coding_gene	Chr1	1300486	1301773	1288	-
AT1G04670	protein_coding_gene	Chr1	1301861	1302724	864	+
AT1G04680	protein_coding_gene	Chr1	1303529	1307884	4356	-
AT1G04684	protein_coding_gene	Chr1	1310430	1310579	150	-
AT1G04690	protein_coding_gene	Chr1	1313564	1315750	2187	+
AT1G04700	protein_coding_gene	Chr1	1316254	1320919	4666	+
AT1G04710	protein_coding_gene	Chr1	1321904	1324782	2879	+
AT1G04720	tRNA	Chr1	1324923	1324960	38	+
AT1G04730	protein_coding_gene	Chr1	1325296	1331086	5791	-
AT1G04750	protein_coding_gene	Chr1	1331466	1333567	2102	-
AT1G04760	protein_coding_gene	Chr1	1334760	1336070	1311	+
AT1G04770	protein_coding_gene	Chr1	1336371	1337849	1479	-
AT1G04778	protein_coding_gene	Chr1	1339892	1340327	436	+
AT1G04780	protein_coding_gene	Chr1	1340669	1343584	2916	-
AT1G04790	protein_coding_gene	Chr1	1345036	1348451	3416	+
AT1G04800	protein_coding_gene	Chr1	1348452	1349286	835	-
AT1G04810	protein_coding_gene	Chr1	1350180	1355442	5263	+
AT1G04820	protein_coding_gene	Chr1	1356191	1358386	2196	-
AT1G04830	protein_coding_gene	Chr1	1358574	1362019	3446	-
AT1G04840	protein_coding_gene	Chr1	1362867	1364962	2096	-
AT1G04850	protein_coding_gene	Chr1	1365118	1368844	3727	-
AT1G04860	protein_coding_gene	Chr1	1369054	1373101	4048	-
AT1G04870	protein_coding_gene	Chr1	1373234	1375762	2529	-
AT1G04880	protein_coding_gene	Chr1	1375961	1379185	3225	-
AT1G04890	protein_coding_gene	Chr1	1380382	1382599	2218	-
AT1G04900	protein_coding_gene	Chr1	1383841	1387895	4055	+
AT1G04910	protein_coding_gene	Chr1	1387871	1391187	3317	-
AT1G04920	protein_coding_gene	Chr1	1391502	1395864	4363	-
AT1G04930	protein_coding_gene	Chr1	1396291	1399053	2763	-
AT1G04940	protein_coding_gene	Chr1	1399182	1400770	1589	+
AT1G04945	protein_coding_gene	Chr1	1399174	1403112	3939	+
